old                                      new
00928b28d8f531c9a36e601499077af1ac4c0f6f f5b7adbf79a2b35027b6765e4edb0ce93c63f0d9
00c9692bd2fc7c9d8cb184360fc64c0528368466 8dfda2b4a7c0dbbc644c41004d6386a00e947e92
010ffeee6a8a0fbfc370fab58d106a12d30c7508 b1a272cd58e63025ab570c6041ef8fa905267753
0117b63c4877afa0510de70d815c974ead7ad3b5 d4bf46a38e3cf68772decb1028baa5732bdc323c
016ced525b9e169baa62ae96fa683179e2ae1f77 d1332f7a434d3a627fda3265b2cd3649da7573e8
0192c2b5646d87a8a3dda098f271c2064e7ac047 03e92555910da5433eac66a2a5419a772d355281
01a6f9589c94363db2b4631f0b6dc6f26cda1ec3 88a0277b7302a1985356a18bbcb62404e18b618c
027a3a35c719edbcb9571d0d99b1c4f72f9d9f5f 8ec2564ea6945b507fdaa5857c512154eef37097
02a0f8a82931f9b34821e9245191cb836f014754 02a0f8a82931f9b34821e9245191cb836f014754
02a25fd03336a873d67f3b7a1477d2cfc843e6f8 b6d64dd2731a3d0c131e329fb5944a7efcb7b357
02f63bc9daf54abe3a8783ad444e959f889fe95c 38daad19cb85cb88d17e2538a044b6a8f99ac57a
03e04807c012174b7f1f00eed24a5b474aeee6cc a9b4f2d7b41176297dff5f55fee4155299a8a032
043feb9569ab7961d5e152e9b57cd4465d86c3a3 ec97f5f4d2bddacf92fed587ba099881535e007b
05d39b227e6a3ad3b8ca58dc7bae00e411958b1e a096ddd44e1de8fd803f8e1e73b5cb16705e6a1c
05daa934f4ce9364168e90eedee72772e69f4c2d 3e381fd475f9b4bd66d7a776897448fc6df43e27
06038ffd3d69614e121b5a69cc9801dce662525e ab1a37c35f75bd20a1e21c4cc0428216b1d352bb
07353b0aedb37395694886613024f736262969d6 b510fb64c80013b0857d23b0d79be397c264ce10
079dd2c3adca0352e03b8a13815421c60317acf0 09d6b36b80952ee018040a47263f3249e5be84db
0804ffc1cb620c4f72aa0fad8614d804169dac49 b8fa61a74356866ca2f37d4a6f23ecd6824ee20b
0850d32ce01a4082f4a7ff45a27c099337b16cf4 9ec976a3a56fcc47c6c3047c86fcc182c5afc3c0
088e5042de83670772ee8fedd3842a7f79e88b18 4a94e600eb87b0e37da4bd3bc389fae0df23864a
090503948e821b89e7b3fa9d1740d985b6aa3c04 9e7807b6a2dea8f4cbd75bcad5b6561001071c0f
091840a4f2778a983454b004822e1c50f65b8247 678ad305b7c1e0211ea3ba08f5c501f1b65b3052
091cb04dbcc33495509f06f79dd4acf587483daf 08f4aa8e060478891f3abcbc941b26fe6f734efa
09b14ae52e63c833518c0caec5a0e851643b41a1 f585b707deaf2dd9e4f5d8eebe1370a205ac1f3c
09c79b66872daafdbd561e451a9a7110fedb5601 8671b6354f110159476ce983cae532234542c33a
09ccd8d656c287d7b8a5fdfa80df981a252b4ffb 094a09fe35215cd27def7439767ff11b82ce9ec2
09d4b26a37d63debeea4033e02cf5245070cb526 0ba2b04854a3c231f258d05e8a010ba171e0c39f
09ddb039aea70f209dca3cb36752c35380445c2f be15ed8a5a27f4354d3b865b3f7fd6b33160b091
0a27667ef63a1ecb726fcafe71e6bfe9316f3635 73a22449281b252a2d46f8fc7ab7eefb40133716
0ae02409f9a4f09b1dcca90119a3429e38334e2b d38b0d885f7090e4c2e25955eb6f20bec92c38a8
0b9b35f1901c023bbd81d84dc46f3391a74f32dd 77ecd189995769c92eb6a69d900d55885cf1c387
0bbde2aaa52eb746d4f39110abb6f436b79632cd b62f029d4d670b4ef72290dfa601719da612c548
0befdfb614c5c2a59905df95ce49e8ebdba591e7 83bb12a535bf662693ca2f3af525f6303abf32c2
0c1bc05b8d6ae8aba126aaf6608430ab11759624 0b84bbc14f2f939fcfa2b1ef0fa92f5f001b24cc
0c532ab7c49e45272082572e92d54a9ebb8f11a2 7278ba9b21a6ab458615423dd399e6a2902adc9d
0c58f24e55c46009790d284c588805cc2bc2d699 1637b0b24e78b8cff01bad946f37a4767090086f
0c6c71e52af4c431e00979ed10808166324f3478 108bc393605ae126e778c6c70a1d5100dcbd71fa
0c9104c532c5838dd39c7800a03121f4760380db e6e4317703052fe6e54e2905029365dce87fb124
0c9112a7fa7e54fc8c4a8ac9074a9436c8fd9f54 d0061506d27be8c4dd8159938b8194a628857a12
0cd3014cac0611dbaf83c342d59125058610530b 0cd3014cac0611dbaf83c342d59125058610530b
0cfa5fe0bfeeccc60d23feeb8d1f7de967ba0b8f 0cfa5fe0bfeeccc60d23feeb8d1f7de967ba0b8f
0d1b6ef4f4334884f15e5968fa4ed4224c5d4de3 5477bc8ba918c1f6290e57f389fe5a914e33bcfe
0d20af16911618d35140241da42597607d216b00 d3cb9e5584ec1adf4caf51b4d60a04bfc0a9bc65
0d31545696129d1a3a5ebfe8eb6e52e56971dbd1 978dbe76f92b29611c3923ab126f1cef1eca3b36
0d81a1659c3ed76403ee0630739846b92efb740a 59c8e931975f1614d5943034933051b6773eebc6
0d83525e4727ce788968122738099887e4759d75 dd60bcf51c26bb53fa90c430899a145d9b9a260a
0db1862034a0365fe3180149b0f997e5d548f53e c55c7cc6532673f40d62e68d0cf8ba2ee34c2e06
0dfb9cd88954a7080a8caeb39d3b790351335496 e01d8f0de2cd0c9917a612696bc7a126257da20a
0e11592f67042b265eba73cc42ca8ca230098955 065a3df46c6ac38a5c5401b3eb1f1401eaf56b6b
0ea13f6c00435eb176fe16945964a938ff3f6dec 7820eda6331dbaa914d250c90b82cd7ca6bec359
0eb33af649ec59bfc60ec2987dac42fda059a4e5 f9b2c05b62661eecd9304a230ba61878bf31891d
0eb932c4b2db1df15fee5c41ccc2cee1ae958272 8a2379f305eb4a5576b078346d6f881c901c3528
0ebe36c75dd555515aea92a20c6397526efaaae6 922f075d7d7ca7e4424d13674cad0394829f2c45
0ebfa09b333d99c64b8b2e2de56536f7d89e0015 6f8e344bac94067a01b94e5e8c6f8dea44670bc0
0f23bedf71fbfa71ab4fbf0b656c34ffdadc3f7a f1dfbf13586c9a5b447da0c00c2693cf7ff799a2
